G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	0	0	0	0	0	0	0	0	0	7054	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	17967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0	0	2	0	0	0	0	0	0	0	0	27633	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3905	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	15916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	5	0	0	0	0	0	1689	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6763	2	0	0	0	8	0	0	0	0	0	0	0	1	0	1	0	4	2	0
0	0	0	0	0	0	0	0	0	0	0	6786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	3	0	0	0	0	1	0	0	1	21422	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	2	0	1	0
0	0	1	0	0	0	0	7	0	0	0	10328	1	0	0	0	22	0	0	0	0	0	1	1	0	0	4	32	2	68	0
0	1	0	6	1	86	1	0	1	0	0	6938	1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	3	0	0	4	0	1	0	0	0	17615	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0
