sampleid,G000002515,G000002545,G000003855,G000006335,G000006445,G000026945,G000091025,G000146045,G000149425,G000149645,G000149955,G000181695,G000182965,G000185945,G000226395,G000243375,G000300575,G000315645,G000349305,G000721785,G000769745,G001298625,G001417885,G001642055,G001661405,G002079055,G002775015,G003290485,G004154835,G004353045,G900007375
13722.58cfa831e4b0c9d6adf6c7f7,0,0,1,0,0,0,0,0,0,0,0,30755,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
13722.58cfa831e4b0c9d6adf6c803,0,0,3,0,0,0,0,0,0,0,0,15664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0
13722.58cfa831e4b0c9d6adf6c836,0,0,0,0,0,0,0,0,0,0,0,16533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa831e4b0c9d6adf6c82b,0,0,6,0,0,0,0,0,0,0,0,27762,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,0
13722.58cfa831e4b0c9d6adf6c8c4,0,0,2,0,0,0,0,0,0,0,1,14151,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,4,0,0,0
13722.58cfa831e4b0c9d6adf6c8e8,0,0,1,0,0,0,0,0,0,0,0,21788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
13722.58cfa831e4b0c9d6adf6c91f,0,0,1,0,0,0,0,1,0,0,0,15336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,3,0
13722.58cfa831e4b0c9d6adf6c8f2,0,0,2,0,0,0,0,0,0,0,0,22919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13722.58cfa831e4b0c9d6adf6c93f,0,0,0,0,0,0,0,0,0,0,0,26706,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,6,3,0
13722.58cfa831e4b0c9d6adf6ca71,0,0,3,0,0,0,0,0,0,0,0,27772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
